<Parks_&_Trails_New_York>	Parks & Trails New York
<Tiananmen_Incident>	Tiananmen Incident
<Battle_of_Savo_Island>	Savo
<Battle_of_Shangcai>	Battle of Shangcai
<Convoy_JW_51B>	Convoy JW 51B
<Battle_of_Shawali_Kowt>	Battle of Shawali Kowt
<fr/Combat_du_pont_de_Quincampoix>	Combat du pont de Quincampoix
<Kep_Campaign>	Kep Campaign
<Battle_of_Lautulae>	Battle of Lautulae
<Operation_Corkscrew>	Operation Corkscrew
<Shishigatani_Incident>	Shishigatani Incident
<Battle_of_St._Quentin_(1557)>	Battle of St. Quentin (1557)
<Saint-Sylvestre_coup_d'état>	Saint-Sylvestre coup d'etat
<Battle_of_Hefei_(234)>	Battle of Hefei (234)
<Bambatha_Rebellion>	Bambatha Rebellion
<Sicilian_Vespers>	Sicilian Vespers
<fr/Crise_de_l'été_1962>	Crise de l'été 1962
<Ottoman_countercoup_of_1909>	Ottoman countercoup of 1909
<de/Flugzeugentführung_von_Irkutsk>	Flugzeugentführung von Irkutsk
<Siege_of_Portsmouth>	Siege of Portsmouth
<Kandyan_Wars>	Kandyan Wars
<Convoy_SL_140/MKS_31>	Convoy SL 140/MKS 31
<de/Siamesischer_Bürgerkrieg_1610–1612>	Siamesischer Buergerkrieg 1610-1612
<es/Guerras_Xhosa>	Guerras Xhosa
<Siege_of_Oran_(1556)>	Siege of Oran (1556)
<Siege_of_Almeida_(1810)>	Siege of Almeida (1810)
<Operation_Brandy>	Operation Brandy
<Battle_of_the_Mortagne>	Battle of the Mortagne
<Battle_of_Appomattox_Court_House>	Battle of Appomattox Court House
<Civil_war_in_Afghanistan_(1989–92)>	Civil war in Afghanistan (1989–92)
<Operation_Jaque>	Operation Jaque
<Watermelon_War>	Watermelon War
<Second_Battle_of_Winchester>	Battle of Winchester
<Argentine_War_of_Independence>	Argentine War of Independence
<Timeline_of_the_Mexican_Drug_War>	Timeline of the Mexican Drug War
<Battle_of_Stiklestad>	Battle of Stiklestad
<Battle_of_Shicun>	Battle of Shicun
<Action_of_5_November_1813>	Action of 5 November 1813
<Battle_of_Wiesloch_(1632)>	Battle of Wiesloch
<Battle_of_Ohaeawai>	Battle of Ohaeawai
<Nile_Expedition>	Nile Expedition
<fr/Bataille_des_Vosges_(Seconde_Guerre_mondiale)>	Bataille des Vosges
<Battle_of_Nad>	Battle of Nad
<Siege_of_Terabe>	Siege of Terabe
<Sinking_of_the_Chian-der_3>	Sinking of the Chian-der 3
<The_Harmony_Skirmish>	The Harmony Skirmish
<Battle_of_Holy_Ground>	Battle of Holy Ground
<it/Battaglia_di_Catraeth>	Battaglia di Catraeth
<Operation_Enduring_Freedom>	Operation Enduring Freedom
<Liquiçá_Church_Massacre>	Liquiçá Church Massacre
<Bombardment_of_Guaymas>	Bombardment of Guaymas
<Polubotkivtsi_Uprising>	Polubotkivtsi Uprising
<Maratha_conquest_of_North-west_India>	Maratha conquest of North-west India
<Te_Kooti's_War>	Te Kooti's War
<fr/Siège_de_Douai_(1667)>	Siège de Douai
<Battle_of_Hodów>	Battle of Hodow
<Battle_of_Krosno>	Battle of Krosno
<Battle_of_Lonato>	Battle of Lonato
<2004_Equatorial_Guinea_coup_d'état_attempt>	Wonga
<Operation_Ariel>	Operation Ariel
<Battle_of_Tamames>	Battle of Tamames
<First_Battle_of_Talca>	First Battle of Talca
<Battle_of_Muktsar>	Battle of Muktsar
<Campaign_to_Suppress_Bandits_in_Northern_China>	Campaign to Suppress Bandits in Northern China
<Battle_of_Deorham>	Battle of Deorham
<Bombing_of_Singapore_(1944–1945)>	Bombing of Singapore (1944-1945)
<Battle_of_Byram's_Ford>	Battle of Byram's Ford
<Bombing_of_Normandy>	Invasion of France
<Recovery_of_Ré_island>	Recovery of Re island
<pl/Masakra_w_więzieniu_Abu_Salim>	Masakra w więzieniu Abu Salim
<Battle_of_Najaf_(2003)>	Battle of Najaf (2003)
<Battle_of_Brownstown>	Battle of Brownstown
<Battle_of_Guruslău>	Battle of Guruslău
<Vaudeville_Theater_Ambush>	Vaudeville Theater Ambush
<Battle_of_Ingalls>	Battle of Ingalls
<fr/Première_bataille_des_Sables-d'Olonne>	Première bataille des Sables-d'Olonne
<2010_Stockholm_bombings>	2010 Stockholm bombings
<fr/Bataille_de_Carnac>	Bataille de Carnac
<Battle_of_Tora_Bora>	Battle of Tora Bora
<Battle_of_Jeokjinpo>	Battle of Jeokjinpo
<Operation_End_Sweep>	Operation End Sweep
<Battle_of_Ankokuji>	Battle of Ankokuji
<Battle_of_Stralsund_(1809)>	Battle of Stralsund
<Kirk-Holden_war>	Kirk-Holden war
<Battle_of_Moel-y-don>	Battle of Moel-y-don
<Solovetsky_Monastery_Uprising>	Solovetsky Monastery Uprising
<2nd_Parachute_Brigade_in_Southern_France>	2nd Parachute Brigade in Southern France
<War_of_the_Guelderian_Succession>	War of the Guelderian Succession
<Battle_of_Gvozd_Mountain>	Battle of Gvozd Mountain
<Sacking_of_Sandomierz_(1241)>	Sacking of Sandomierz (1241)
<Battle_of_Playa_Honda>	Battle of Playa Honda
<West_German_Embassy_siege>	West German Embassy siege
<2011_Norway_attacks>	2011 Norway attacks
<Pakrac_clash>	Pakrac clash
<Siege_of_Aintab>	Siege of Aintab
<2006_Oaxaca_protests>	2006 Oaxaca protests
<Battle_of_Víðines>	Battle of Víðines
<it/Battaglia_di_Cogoleto>	Battaglia di Cogoleto
<fr/Prise_de_Flessingue>	Prise de Flessingue
<fr/Bataille_de_Châteauneuf-du-Faou>	Bataille de Châteauneuf-du-Faou
<fr/Combat_de_Pontivy>	Combat de Pontivy
<Battle_of_Vescera>	Battle of Vescera
<SS_John_Grafton>	SS John Grafton
<Siege_of_Bastogne>	Siege of Bastogne
<Battle_of_Lissa_(1866)>	Battle of Lissa (1866)
<Action_of_1_November_1944>	Action of 1 November 1944
<Second_Battle_of_Manzanillo>	Second Battle of Manzanillo
<Battle_of_Núi_Bop>	Battle of Núi Bop
<it/Battaglia_del_Fiume_Teleajăn>	Battaglia del Fiume Teleajăn
<Siege_of_Albarracín_(1284)>	Siege of Albarracín (1284)
<Siege_of_Lucknow>	Siege of Lucknow
<Battle_of_Guam_(1941)>	Battle of Guam
<War_of_the_Pyrenees>	War of the Pyrenees
